label,id,fea_1,fea_2,fea_3,fea_4,fea_5,fea_6,fea_7,fea_8,fea_9,fea_10,fea_11,OVD_t1_sum,OVD_t1_mean,OVD_t1_max,OVD_t2_sum,OVD_t2_mean,OVD_t2_max,OVD_t3_sum,OVD_t3_mean,OVD_t3_max,OVD_sum_sum,OVD_sum_mean,OVD_sum_max,OVD_sum_std,pay_normal_sum,pay_normal_mean,new_balance_mean,new_balance_max,new_balance_min,new_balance_std,highest_balance_mean,highest_balance_max,prod_limit_mean,prod_limit_max,prod_code_count,overdue_rate,credit_utilization,balance_ratio,overdue_volatility,payment_score
1,54982665,5,1245.5,3,77000.0,2,15,5,109,5,151300,244.94897430000003,0,0.0,0,2,0.5,2,26,5.666666666666667,26,11906,2976.5,11906,5953.0,34,8.5,40112.4,153792.0,0.0,75851.35544102029,91298.0,150500.0,60500.0,60500.0,4,0.9970689222008207,0.6630039172906234,0.4393520191896954,5953.0,-15125.5
0,59004779,4,1277.0,1,113000.0,2,8,-1,100,3,341759,207.17384,2,0.13333333333333333,2,2,0.13333333333333333,2,0,0.0,0,195,13.0,195,50.34878350069642,174,11.6,2040.48,15120.0,0.0,4377.97967808375,74837.0,360500.0,69666.66666666667,129800.0,15,0.527027027027027,0.029288766189958994,0.027265293032951176,50.34878350069642,-41.8
0,58990862,7,1298.0,1,110000.0,2,11,-1,101,5,72001,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,64,10.666666666666666,109178.8,273850.8,-9560.4,107003.81965847762,118865.66666666667,250500.0,102300.0,102300.0,6,0.0,1.067231014359586,0.9184980370162648,0.0,21.333333333333332
1,58995168,7,1335.5,1,151000.0,2,11,5,110,3,60084,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,92,23.0,4069.8,16332.0,-52.8,8174.837891970702,90449.5,160500.0,92400.0,127600.0,4,0.0,0.04404497786820489,0.04499477614828,0.0,46.0
0,54987320,7,1281.5,2,59000.0,2,11,5,108,4,450081,197.4031408,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,193,21.444444444444443,260363.33333333334,1602807.6,0.0,508650.51524849556,395634.3333333333,1500500.0,154733.33333333334,247500.0,9,0.0,1.6826474624248442,0.6580891831366595,0.0,42.888888888888886
0,59005995,6,1217.0,3,56000.0,2,8,-1,100,3,60091,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,49,16.333333333333332,57099.6,113520.0,13804.8,51136.985727357845,105173.66666666667,250500.0,35200.0,42900.0,3,0.0,1.6221016448396353,0.5429026001191668,0.0,32.666666666666664
1,59001917,4,1304.0,3,35000.0,2,8,9,85,5,60069,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,28,14.0,11382.0,22764.0,0.0,16096.578766930568,31749.0,44028.0,72380.0,96800.0,2,0.0,0.41706539394790143,0.35848818897637796,0.0,28.0
1,54984789,5,1256.0,3,78000.0,2,15,-1,111,3,60030,1.0,4,1.0,3,1,0.25,1,0,0.0,0,105,26.25,82,38.71584516275819,80,20.0,23073.6,87733.2,0.0,43159.99250787701,32487.75,73611.0,26033.333333333332,35200.0,4,0.5645161290322581,0.8862758152695799,0.7102027624947097,38.71584516275819,-91.25
0,58984557,5,1323.5,3,218000.0,2,15,5,112,4,151300,282.8427125,8,1.1428571428571428,8,0,0.0,0,24,3.4285714285714284,24,19370,2767.1428571428573,19370,7321.171842188732,82,11.714285714285714,219505.88571428575,1274601.6,0.0,472501.78119682416,438930.14285714284,2500500.0,94050.0,161700.0,7,0.9957333059168252,2.3339027305853817,0.5000918464920304,7321.171842188732,-14052.285714285716
0,54990497,4,1281.5,2,35000.0,2,8,5,101,3,60029,237.301496,20,0.625,12,10,0.20833333333333334,2,0,0.0,0,636,13.25,141,33.81331728079803,494,12.833333333333334,67832.8,838872.0,0.0,179521.82503680346,190736.04761904763,750500.0,110000.0,116600.0,30,0.5075818036711891,0.6166562122162526,0.35563515765159615,33.81331728079803,-40.58333333333333
